created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
15/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,26,21,6.81,53.81
16/04/2015,nill,0,0,Lawn,30,0,40,20,0,0,0,26,0,13.6,129.6
17/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,26,0,6.81,32.81
18/04/2015,nill,0,0,nill,0,0,65,0,0,0,0,0,0,0,65
19/04/2015,lia massage,35,0,nill,0,0,0,0,42,0,0,0,0,0,77
20/04/2015,nill,0,0,nill,0,0,0,0,0,791,0,26,0,13.6,830.6
21/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,26,0,13.6,39.6
22/04/2015,lia,50,0,GAS,179.68,0,0,0,0,0,0,42,0,13.6,285.28
23/04/2015,me pants,54,38,ELEC,398.89,0,0,0,0,0,0,26,0,13.6,530.49
24/04/2015,nill,0,0,Netflix,11.99,0,0,0,0,0,0,26,0,13.6,51.59
25/04/2015,nill,0,0,Internet,99,0,0,0,19.46,0,89.55,0,0,0,208.01
26/04/2015,nill,0,150,Food,40,0,0,0,10,0,0,0,0,0,200
27/04/2015,nill,0,0,STAN,10,0,0,0,0,791,0,26,0,6.81,833.81
28/04/2015,nill,0,0,nill,0,0,0,0,80,0,0,26,0,6.81,112.81
29/04/2015,nill,0,0,nill,0,0,0,0,0,0,0,26,21,6.81,53.81
30/04/2015,nill,0,0,Optus,119.19,0,0,0,0,0,0,26,0,6.81,152
01/05/2015,nill,0,0,nill,0,0,0,0,0,0,0,26,0,6.37,32.37
02/05/2015,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
03/05/2015,nill,0,8.72,Health Insu,56,0,0,0,0,0,0,0,0,0,64.72
04/05/2015,nill,0,0,nill,0,0,0,0,0,800,0,26,0,6.37,832.37
05/05/2015,nill,0,0,Food,40,0,0,0,0,0,0,26,0,6.37,72.37
06/05/2015,Anna Frank,50,0,nill,0,0,0,0,0,0,88.04,26,0,6.37,170.41
07/05/2015,Lia,25,0,nill,0,0,0,0,0,0,0,26,0,12.68,63.68
08/05/2015,Babu Gift,45,0,nill,0,0,25,0,88,0,0,26,0,6.41,190.41
09/05/2015,Farhana gift,60,0,nill,0,0,0,0,0,0,0,0,0,8,68
10/05/2015,eifle tower,169.42,124.63,Food,30,0,0,0,0,0,0,0,0,0,324.05
11/05/2015,vatican city,180.92,0,nill,0,0,0,0,0,819,0,26,0,6.41,1032.33
12/05/2015, Colosseum,152,0,nill,0,0,0,0,0,0,0,26,0,6.41,184.41
13/05/2015,nill,0,0,nill,0,0,12,0,0,0,0,26,21,6.41,65.41
14/05/2015,nill,0,0,nill,0,0,12,0,0,0,0,26,0,6.41,44.41
15/05/2015,nill,0,0,nill,0,0,37,0,0,0,0,26,0,6.41,69.41
16/05/2015,nill,0,0,nill,0,0,0,0,0,0,88,0,0,2.7,90.7
17/05/2015,nill,0,0,nill,0,0,39,0,0,0,0,0,0,0,39
18/05/2015,nill,0,0,nill,0,0,0,0,0,819,0,0,0,0,819
